,Title,Year,Rated,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,imdbRating,imdbVotes,DVD,BoxOffice,Production,Prod_counts,studio_size,meta_class
1700,Project X,2012,R,88,Comedy,Nima Nourizadeh,"Matt Drake (screenplay), Michael Bacall (screenplay), Michael Bacall (story)","Thomas Mann, Oliver Cooper, Jonathan Daniel Brown, Dax Flame","3 high school seniors throw a birthday party to make a name for themselves. As the night progresses, things spiral out of control as word of the party spreads.",English,USA,Nomination,48.0,6.6,181808,1,53400000.0,Warner Bros. Pictures,138.0,big,0
1702,Being Flynn,2012,R,102,Drama,Paul Weitz,"Paul Weitz, Nick Flynn (book)","Robert De Niro, Paul Dano, Julianne Moore, Olivia Thirlby","Working in a Boston homeless shelter, Nick Flynn re-encounters his father, a con man and self-proclaimed poet. Sensing trouble in his own life, Nick wrestles with the notion of reaching out yet again to his dad.",English,USA,Other Win,53.0,6.4,16082,1,526322.0,Focus Features,61.0,big,0
1703,Mariachi Gringo,2012,Not Rated,107,Comedy,Tom Gustafson,Cory Krueckeberg,"Shawn Ashmore, Martha Higareda, Kate Burton, Adriana Barraza","A stifled, small-town man stuck in a dead end life, runs away to Mexico to be a mariachi singer. MARIACHI GRINGO is a musical tour-de-force exploring the reality of ""following your dreams"" ...","English, Spanish","USA, Mexico",Other Win,42.0,6.2,354,1,0.0,Independent Pictures,31.0,big,0
1704,Forgetting the Girl,2012,Not Rated,85,Drama,Nate Taylor,Peter Moore Smith (story and screenplay),"Christopher Denham, Lindsay Beamish, Elizabeth Rice, Paul Sparks","Haunted by a traumatic history, photographer Kevin Wolfe (Christopher Denham) struggles to systematically forget all his bad memories, but erasing his past threatens to consume his future. ...",English,USA,Other Win,55.0,5.3,974,1,0.0,Film Movement,7.0,small,0
1714,Dark Tide,2012,PG-13,94,Action,John Stockwell,"Ronnie Christensen (screenplay), Amy Sorlie (screenplay), Amy Sorlie (story)","Halle Berry, Olivier Martinez, Sizwe Msutu, Mark Elderkin","A professional diver tutor returns to deep waters after 1 year, following an almost fatal encounter with a great white shark. The nightmare from the deep is still lurking - more carnivorous and hungry than ever.",English,"USA, UK, South Africa, Germany, France",,23.0,4.3,7803,1,0.0,Wrekin Hill,1.0,small,0
1716,A Thousand Words,2012,PG-13,91,Comedy,Brian Robbins,Steve Koren,"Eddie Murphy, Kerry Washington, Emanuel Ragsdale, Jill Basey","After stretching the truth on a deal with a spiritual guru, literary agent Jack McCall finds a Bodhi tree on his property. Its appearance holds a valuable lesson on the consequences of every word he speaks.",English,USA,Nomination,26.0,5.9,37442,1,18429081.0,Paramount Pictures,79.0,big,0
1717,The Babymakers,2012,R,95,Comedy,Jay Chandrasekhar,"Peter Gaulke, Gerry Swallow","Paul Schneider, Olivia Munn, Michael Yurchak, Wood Harris","After failing to get his wife pregnant, a guy (Schneider) recruits his pals to steal the deposit he left at a sperm bank years ago.",English,USA,Nomination,30.0,4.9,8232,1,5215.0,Millenium Entertainment,14.0,small,0
1718,The Raven,2012,R,110,Crime,James McTeigue,"Hannah Shakespeare, Ben Livingston","John Cusack, Luke Evans, Alice Eve, Brendan Gleeson","When a madman begins committing horrific murders inspired by Edgar Allan Poe's works, a young Baltimore detective joins forces with Poe to stop him from making his stories a reality.",English,"USA, Spain, Hungary, Serbia",Nomination,44.0,6.4,80524,1,16000000.0,Relativity Media,31.0,big,0
1723,Fat Kid Rules the World,2012,R,98,Comedy,Matthew Lillard,"Michael M.B. Galvin (screenplay by), Peter Speakman (screenplay by), K.L. Going (based upon the novel by)","Jacob Wysocki, Matt O'Leary, Billy Campbell, Dylan Arnold",A dropout comes to the aid of a chubby and suicidal high-school kid by recruiting him as the drummer for his upstart punk-rock band.,English,USA,Other Win,54.0,6.5,3160,1,0.0,Outsider Pictures,1.0,small,0
1724,Girls Against Boys,2012,R,93,Drama,Austin Chick,Austin Chick,"Nicole LaLiberte, Danielle Panabaker, Matthew Rauch, Liam Aiken","After a series of bad experiences with men, Shae teams up with her co-worker, Lu, who has a simple, deadly way of dealing with the opposite sex.",English,USA,Other Win,17.0,4.8,3302,1,6111.0,Anchor Bay Films,13.0,small,0
1726,Nature Calls,2012,R,79,Comedy,Todd Rohal,Todd Rohal (screenplay),"Maura Tierney, Patton Oswalt, Rob Riggle, Johnny Knoxville","Polar-opposite brothers Randy and Kirk never saw eye-to-eye, but their rivalry is taken to a new level when Randy hijacks Kirk's son's sleepover, taking the boys on a Scout Trip to remember.",English,USA,Nomination,30.0,3.9,2139,1,382.0,Magnolia Pictures,59.0,big,0
1730,"3, 2, 1... Frankie Go Boom",2012,Not Rated,89,Comedy,Jordan Roberts,Jordan Roberts (screenplay),"Charlie Hunnam, Nora Dunn, Sam Anderson, Chris O'Dowd","Frank Bartlett has been tortured, embarrassed, and humiliated by his brother Bruce -- usually on film -- his entire life. Now that Bruce is finally off drugs and has turned his life around, things should be different. They are not.",English,USA,Nomination,51.0,5.9,4617,1,0.0,Variance Films,12.0,small,0
1732,In Our Nature,2012,Not Rated,103,Drama,Brian Savelson,Brian Savelson,"Zach Gilford, Jena Malone, John Slattery, Gabrielle Union",A scheduling mistake leads to an estranged father and son sharing a vacation home with their respective girlfriends.,English,USA,Nomination,51.0,5.7,699,1,6175.0,Cinedigm Entertainment,9.0,small,0
1733,Funeral Kings,2012,R,85,Comedy,"Kevin McManus, Matthew McManus","Kevin McManus, Matthew McManus","Dylan Hartigan, Alex Maizus, Jordan Puzzo, Charles Kwame Odei",Two altar boys decide to play hooky after serving at a series of funerals.,English,USA,Nomination,51.0,6.3,1104,1,0.0,Freestyle Releasing,23.0,small,0
1734,Sun Don't Shine,2012,Not Rated,90,Crime,Amy Seimetz,Amy Seimetz,"Kate Lyn Sheil, Kentucker Audley, AJ Bowen, Kit Gwin",A couple takes a tense and mysterious road trip through the desolate yet hauntingly beautiful landscape of central Florida.,English,USA,Other Win,70.0,6.0,630,0,0.0,Independent Pictures,31.0,big,1
1735,King Kelly,2012,Not Rated,84,Drama,Andrew Neel,"Andrew Neel (story), Mike Roberts (screenplay)","Louisa Krause, Libby Woodbridge, Roderick Hill, Will Brill","King Kelly is the online username of Kelly, a young girl from Long Island, NY who dreams of becoming famous through her webcam strip tease show. Obsessed with the prospect of celebrity, Kelly stops at nothing to get what she wants.",English,USA,Other Win,66.0,5.0,513,0,0.0,Independent Pictures,31.0,big,1
1737,Gimme the Loot,2012,Not Rated,81,Comedy,Adam Leon,Adam Leon,"Tashiana Washington, Ty Hickson, Meeko, Sam Soghor","When their latest work is buffed by a rival crew, two determined graffiti writers embark on an elaborate plan to bomb the ultimate location: the New York Mets' Home Run Apple.",English,USA,Other Win,81.0,6.6,2305,1,97768.0,IFC Films,127.0,big,1
1738,The Do-Deca-Pentathlon,2012,R,76,Comedy,"Jay Duplass, Mark Duplass","Jay Duplass, Mark Duplass","Mark Kelly, Steve Zissis, Jennifer Lafleur, Julie Vorus",Two brothers compete in their own private 25-event Olympics.,English,USA,Nomination,60.0,6.0,1640,1,10000.0,20th Century Fox,133.0,big,0
1739,Crazy Eyes,2012,Not Rated,95,Comedy,Adam Sherman,"Adam Sherman, Dave Reeves, Rachel Hardisty","Lukas Haas, Madeline Zima, Jake Busey, Tania Raymonde","Zach is guy for whom the party never ends. But when he meets the girl he nicknames ""Crazy Eyes,"" the inability to have her, combined with family matters, are signs that his idle life might be due for a change.",English,USA,Other Win,31.0,4.0,486,1,6106.0,Strand Releasing,13.0,small,0
1740,Eden,2012,R,98,Crime,Megan Griffiths,"Richard B. Phillips (screenplay), Megan Griffiths (screenplay), Richard B. Phillips (story), Chong Kim (story)","Jamie Chung, Beau Bridges, Matt O'Leary, Eddie Martinez","A young Korean-American girl, abducted and forced into prostitution by domestic human traffickers, cooperates with her captors in a desperate ploy to survive.","English, Chinese, Spanish",USA,Other Win,63.0,6.6,7914,1,0.0,Phase 4 Films,18.0,small,1
1742,Sinister,2012,R,110,Horror,Scott Derrickson,"Scott Derrickson, C. Robert Cargill","Ethan Hawke, Juliet Rylance, Fred Dalton Thompson, James Ransone",Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.,English,"USA, UK",Other Win,53.0,6.8,205293,1,48100000.0,Lionsgate Films,48.0,big,0
1745,Starlet,2012,Not Rated,103,Drama,Sean Baker,"Sean Baker, Chris Bergoch","Dree Hemingway, Boonee, Stella Maeve, Sheri Vecchio",An unlikely friendship forms between twenty-one-year-old Jane and the elderly Sadie after Jane discovers a hidden stash of money inside an object at Sadie's yard sale.,English,"USA, UK",Other Win,74.0,6.8,6419,1,59014.0,Music Box Films,4.0,small,1
1748,21 Jump Street,2012,R,109,Action,"Phil Lord, Christopher Miller","Michael Bacall (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series), Stephen J. Cannell (television series)","Jonah Hill, Channing Tatum, Brie Larson, Dave Franco",A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,English,USA,Other Win,69.0,7.2,489008,1,134000000.0,Sony Pictures,90.0,big,1
1749,The Hunger Games,2012,PG-13,142,Action,Gary Ross,"Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)","Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields",Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.,English,USA,Other Win,68.0,7.2,809728,1,407981652.0,Lionsgate,58.0,big,1
1750,Evidence,2013,Not Rated,94,Crime,Olatunde Osunsanmi,John Swetnam,"Torrey DeVitto, Caitlin Stasey, Harry Lennix, Stephen Moyer",A detective hunts down a killer using video footage shot by the victims of a massacre at an abandoned gas station.,English,USA,Nomination,14.0,5.4,6576,1,0.0,RLJ Entertainment,11.0,small,0
1752,Gayby,2012,Not Rated,85,Comedy,Jonathan Lisecki,Jonathan Lisecki,"Jenn Harris, Anna Margaret Hollyman, Matthew Wilkas, Christian Coulson","Jenn (straight) and Matt (gay) are best friends from college who are now in their thirties. Single by choice, they decide to fulfill a youthful promise to have a child together... the old fashioned way.",English,USA,Other Win,58.0,6.0,2393,1,8387.0,Independent Pictures,31.0,big,0
1753,Pavilion,2012,Not Rated,68,Drama,Tim Sutton,Tim Sutton,"Addie Bartlett, Aaron Buyea, Zach Cali, Cody Hamric","Tim Sutton's debut feature, likened to films by Gus Van Sant and Pedro Costa, follows a laconic teenager (Max) who moves from an idyllic lakeside town to his father's home in arid suburban ...",English,USA,Other Win,78.0,6.1,104,0,0.0,Independent Pictures,31.0,big,1
1754,Casa de mi Padre,2012,R,84,Comedy,Matt Piedmont,"Andrew Steele, Eva Maria Peters (dubbing dialogue)","Will Ferrell, Diego Luna, Pedro Armendáriz Jr., Genesis Rodriguez","Scheming on a way to save their father's ranch, the Alvarez brothers find themselves in a war with Mexico's most feared drug lord.","Spanish, English","USA, Mexico",Other Win,52.0,5.5,19455,1,5895238.0,Pantelion Films,5.0,small,0
1755,Blue Like Jazz,2012,PG-13,108,Comedy,Steve Taylor,"Donald Miller (screenplay), Donald Miller (story), Ben Pearson (screenplay), Steve Taylor (screenplay)","Marshall Allman, Claire Holt, Tania Raymonde, Justin Welborn","Don, a nineteen-year-old sophomore at a Texas junior college, tries to escape his Bible Belt upbringing for life in the Pacific Northwest at the most godless campus in America.",English,USA,,48.0,5.9,2843,1,594904.0,Roadside Attractions,39.0,big,0
1759,Get the Gringo,2012,R,96,Action,Adrian Grunberg,"Mel Gibson, Stacy Perskie, Adrian Grunberg","Mel Gibson, Kevin Balmore, Daniel Giménez Cacho, Jesús Ochoa",A career criminal nabbed by Mexican authorities is placed in a tough prison where he learns to survive with the help of a young boy.,"English, Spanish","USA, Mexico",,60.0,7.0,99888,1,493573.0,Twentieth Century Fox,4.0,small,0
1760,Mirror Mirror,2012,PG,106,Adventure,Tarsem Singh,"Marc Klein (screenplay), Jason Keller (screenplay), Melisa Wallack (screen story)","Julia Roberts, Lily Collins, Armie Hammer, Nathan Lane",An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,English,"USA, Canada",Oscar Win,46.0,5.6,80982,1,64933670.0,Relativity Media,31.0,big,0
1765,30 Beats,2012,R,88,Comedy,Alexis Lloyd,Alexis Lloyd,"Condola Rashad, Justin Kirk, Jennifer Tilly, Jason Day",A summer heat wave and a series of sexual encounters connect a group of New Yorkers.,"English, French","France, USA",,20.0,4.1,889,1,14686.0,Roadside Attractions,39.0,big,0
1766,Nesting,2012,PG-13,93,Comedy,John Chuldenko,"Sean Blythe (occasional funny aside by), John Chuldenko","Todd Grinnell, Ali Hillis, Kevin Linehan, Erin Chambers","When a thirty-something couple set aside the home furnishings catalogue and decide to rekindle their relationship, they return to their old neighborhood and end up squatting illegally in their twenty-something lives.",English,USA,,34.0,5.8,218,0,0.0,Mac Releasing,2.0,small,0
1767,Brake,2012,R,92,Thriller,Gabe Torres,Timothy Mannion,"Stephen Dorff, Chyler Leigh, JR Bourne, Tom Berenger",A Secret Service Agent is held captive in the trunk of a car and endures mental and physical torture as terrorists attempt to extract information for their plot against the President of the United States.,English,USA,,38.0,6.1,11078,1,4330.0,IFC Films,127.0,big,0
1773,The Pirates! Band of Misfits,2012,PG,88,Animation,"Peter Lord, Jeff Newitt(co-director)","Gideon Defoe (book), Gideon Defoe (screenplay by)","Hugh Grant, Martin Freeman, Imelda Staunton, David Tennant",Pirate Captain sets out on a mission to defeat his rivals Black Bellamy and Cutlass Liz for the Pirate of the year Award. The quest takes Captain and his crew from the shores of Blood Island to the foggy streets of Victorian London.,English,"UK, USA",Oscar Win,73.0,6.7,42958,1,31051126.0,Sony Pictures,90.0,big,1
1774,Wrath of the Titans,2012,PG-13,99,Action,Jonathan Liebesman,"Dan Mazeau (screenplay), David Leslie Johnson-McGoldrick (screenplay), Greg Berlanti (story), David Leslie Johnson-McGoldrick (story), Dan Mazeau (story), Beverley Cross","Sam Worthington, Liam Neeson, Ralph Fiennes, Edgar Ramírez","Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world.",English,"Spain, USA",Other Win,37.0,5.7,175899,1,83640426.0,Warner Bros.,23.0,small,0
1790,Battleship,2012,PG-13,131,Action,Peter Berg,"Jon Hoeber, Erich Hoeber","Taylor Kitsch, Alexander Skarsgård, Rihanna, Brooklyn Decker",A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.,"English, Japanese",USA,Other Win,41.0,5.8,228999,1,65173160.0,Universal,5.0,small,0
1791,The Cold Light of Day,2012,PG-13,93,Action,Mabrouk El Mechri,"Scott Wiper, John Petro","Henry Cavill, Verónica Echegui, Bruce Willis, Sigourney Weaver","After his family is kidnapped during their sailing trip in Spain, a young Wall Street trader is confronted by the people responsible: intelligence agents looking to recover a mysterious briefcase.","English, Spanish","USA, Spain",Nomination,22.0,4.9,33599,1,3700000.0,Lionsgate Fi lms,1.0,small,0
